,d,d_rock,diff_settle l/s,diff_settle s/l,settlement [mm],station,x-sect_x,x-sect_y,x_station,y_station
0,14.2,-18.1,,,-3.3016131582185637,205+520,2612456.253590606,1268896.775904465,2612491,1268917
1,14.2,-18.1,1439.8904783946398,0.0006944972655940598,-6.774099486188863,205+520,2612460.5932667805,1268899.2592914067,2612491,1268917
2,14.2,-18.1,854.0224910866639,0.0011709293495626718,-12.628746234002222,205+520,2612464.932942955,1268901.7426783487,2612491,1268917
3,14.2,-18.1,570.561779817544,0.0017526585820728882,-21.392039144366663,205+520,2612469.2726191287,1268904.2260652906,2612491,1268917
4,14.2,-18.1,433.5353641498299,0.0023066169053152486,-32.92512367094291,205+520,2612473.612295303,1268906.7094522323,2612491,1268917
5,14.2,-18.1,381.0905284425431,0.0026240484225279553,-46.04536578358268,205+520,2612477.9519714774,1268909.1928391743,2612491,1268917
6,14.2,-18.1,401.14521854246607,0.002492862818191956,-58.50967987454246,205+520,2612482.2916476517,1268911.6762261163,2612491,1268917
7,14.2,-18.1,552.8167111195385,0.001808917820112288,-67.5542689751039,205+520,2612486.6313238256,1268914.159613058,2612491,1268917
8,14.2,-18.1,1508.057728336803,0.000663104588909122,-70.86979191964951,205+520,2612490.971,1268916.643,2612491,1268917
9,14.2,-18.1,1508.057728336803,0.000663104588909122,-67.5542689751039,205+520,2612495.3106761742,1268919.1263869419,2612491,1268917
10,14.2,-18.1,552.8167111195385,0.001808917820112288,-58.50967987454246,205+520,2612499.650352348,1268921.6097738836,2612491,1268917
11,14.2,-18.1,401.14521854246607,0.002492862818191956,-46.04536578358268,205+520,2612503.9900285224,1268924.0931608255,2612491,1268917
12,14.2,-18.1,381.0905284425431,0.0026240484225279553,-32.92512367094291,205+520,2612508.329704697,1268926.5765477675,2612491,1268917
13,14.2,-18.1,433.5353641498299,0.0023066169053152486,-21.392039144366663,205+520,2612512.669380871,1268929.0599347092,2612491,1268917
14,14.2,-18.1,570.561779817544,0.0017526585820728882,-12.628746234002222,205+520,2612517.009057045,1268931.5433216512,2612491,1268917
15,14.2,-18.1,854.0224910866639,0.0011709293495626718,-6.774099486188863,205+520,2612521.3487332193,1268934.0267085931,2612491,1268917
16,14.2,-18.1,1439.8904783946398,0.0006944972655940598,-3.3016131582185637,205+520,2612525.6884093937,1268936.5100955348,2612491,1268917
0,14.5,-17.8,,,-3.277853647455577,205+525,2612458.738065693,1268892.4343269982,2612493,1268912
1,14.5,-17.8,1451.9120477096023,0.0006887469537686559,-6.721588416298857,205+525,2612463.0775574814,1268894.9180361235,2612493,1268912
2,14.5,-17.8,861.595485896564,0.0011606374642961531,-12.524775737779622,205+525,2612467.4170492697,1268897.4017452488,2612493,1268912
3,14.5,-17.8,575.8748798480414,0.0017364883154199647,-21.207217314879447,205+525,2612471.756541058,1268899.885454374,2612493,1268912
4,14.5,-17.8,437.7331515041213,0.002284496836860173,-32.629701499180314,205+525,2612476.0960328463,1268902.3691634992,2612493,1268912
5,14.5,-17.8,384.8935381908514,0.0025981210406918935,-45.62030670263978,205+525,2612480.435524635,1268904.8528726243,2612493,1268912
