,d,d_rock,diff_settle l/s,diff_settle s/l,settlement [mm],station,x-sect_x,x-sect_y,x_station,y_station
0,14.1,-6.7,,,-0.0012436518151220056,104+607,2611453.361589775,1268818.6079079853,2611453,1268859
1,14.1,-6.7,386668.0749486357,2.586197477339804e-06,-0.014174639201821026,104+607,2611453.283266053,1268823.607294487,2611453,1268859
2,14.1,-6.7,48724.22695032475,2.0523670924928546e-05,-0.11679299382646376,104+607,2611453.204942331,1268828.606680989,2611453,1268859
3,14.1,-6.7,8637.177571443024,0.00011577856212037201,-0.6956858044283238,104+607,2611453.1266186093,1268833.6060674908,2611453,1268859
4,14.1,-6.7,2173.8817278639312,0.0004600066264794478,-2.9957189368255626,104+607,2611453.0482948874,1268838.6054539925,2611453,1268859
5,14.1,-6.7,789.8941364137444,0.0012659924335432751,-9.325681104541939,104+607,2611452.9699711655,1268843.6048404945,2611453,1268859
6,14.1,-6.7,428.7657172926276,0.0023322760185080556,-20.987061197082216,104+607,2611452.8916474436,1268848.6042269962,2611453,1268859
7,14.1,-6.7,380.0278996003408,0.002631385751024221,-34.14398995220332,104+607,2611452.8133237218,1268853.6036134982,2611453,1268859
8,14.1,-6.7,831.4379418559365,0.0012027355857345157,-40.1576678808759,104+607,2611452.735,1268858.603,2611453,1268859
9,14.1,-6.7,831.4379418559365,0.0012027355857345157,-34.14398995220332,104+607,2611452.656676278,1268863.6023865016,2611453,1268859
10,14.1,-6.7,380.0278996003408,0.002631385751024221,-20.987061197082216,104+607,2611452.578352556,1268868.6017730036,2611453,1268859
11,14.1,-6.7,428.7657172926276,0.0023322760185080556,-9.325681104541939,104+607,2611452.500028834,1268873.6011595053,2611453,1268859
12,14.1,-6.7,789.8941364137444,0.0012659924335432751,-2.9957189368255626,104+607,2611452.4217051123,1268878.6005460073,2611453,1268859
13,14.1,-6.7,2173.8817278639312,0.0004600066264794478,-0.6956858044283238,104+607,2611452.3433813904,1268883.599932509,2611453,1268859
14,14.1,-6.7,8637.177571443024,0.00011577856212037201,-0.11679299382646376,104+607,2611452.2650576686,1268888.5993190107,2611453,1268859
15,14.1,-6.7,48724.22695032475,2.0523670924928546e-05,-0.014174639201821026,104+607,2611452.1867339467,1268893.5987055127,2611453,1268859
16,14.1,-6.7,386668.0749486357,2.586197477339804e-06,-0.0012436518151220056,104+607,2611452.108410225,1268898.5980920144,2611453,1268859
0,14.5,-6.5,,,-0.0014954649611560503,104+610,2611456.468454528,1268818.6567250094,2611456,1268859
1,14.5,-6.5,338437.03421965,2.954759375863656e-06,-0.01626926184047433,104+610,2611456.3767727125,1268823.6558843832,2611456,1268859
2,14.5,-6.5,44452.05492426186,2.2496147854217682e-05,-0.12875000111156273,104+610,2611456.2850908963,1268828.655043757,2611456,1268859
3,14.5,-6.5,8164.409319696023,0.00012248283505183593,-0.7411641763707424,104+610,2611456.19340908,1268833.6542031309,2611456,1268859
4,14.5,-6.5,2116.4363001966485,0.00047249236837748675,-3.103626018258176,104+610,2611456.101727264,1268838.6533625047,2611456,1268859
5,14.5,-6.5,787.3645533947943,0.0012700597146371507,-9.45392459144393,104+610,2611456.010045448,1268843.6525218785,2611456,1268859
6,14.5,-6.5,435.0065259379311,0.0022988160875147077,-20.948005029017466,104+610,2611455.918363632,1268848.6516812523,2611456,1268859
7,14.5,-6.5,390.12068049166635,0.002563309380932349,-33.764551933679215,104+610,2611455.826681816,1268853.650840626,2611456,1268859
8,14.5,-6.5,858.5503261713557,0.0011647540854820115,-39.58832236108927,104+610,2611455.735,1268858.65,2611456,1268859
9,14.5,-6.5,858.5503261713557,0.0011647540854820115,-33.764551933679215,104+610,2611455.6433181837,1268863.6491593737,2611456,1268859
10,14.5,-6.5,390.12068049166635,0.002563309380932349,-20.948005029017466,104+610,2611455.5516363676,1268868.6483187475,2611456,1268859
11,14.5,-6.5,435.0065259379311,0.0022988160875147077,-9.45392459144393,104+610,2611455.459954552,1268873.6474781213,2611456,1268859
12,14.5,-6.5,787.3645533947943,0.0012700597146371507,-3.103626018258176,104+610,2611455.3682727357,1268878.6466374951,2611456,1268859
13,14.5,-6.5,2116.4363001966485,0.00047249236837748675,-0.7411641763707424,104+610,2611455.2765909196,1268883.645796869,2611456,1268859
14,14.5,-6.5,8164.409319696023,0.00012248283505183593,-0.12875000111156273,104+610,2611455.1849091034,1268888.6449562428,2611456,1268859
15,14.5,-6.5,44452.05492426186,2.2496147854217682e-05,-0.01626926184047433,104+610,2611455.0932272873,1268893.6441156166,2611456,1268859
16,14.5,-6.5,338437.03421965,2.954759375863656e-06,-0.0014954649611560503,104+610,2611455.0015454716,1268898.6432749904,2611456,1268859
0,14.7,-6.3,,,-0.001539336229784134,104+613,2611459.547165248,1268818.7132663256,2611459,1268859
1,14.7,-6.3,332497.1485511935,3.0075445890509146e-06,-0.016577059175038707,104+613,2611459.445519592,1268823.7122330351,2611459,1268859
2,14.7,-6.3,44069.42388676053,2.269146977209346e-05,-0.130034408035506,104+613,2611459.343873936,1268828.7111997444,2611459,1268859
3,14.7,-6.3,8157.131446894613,0.00012259211544037285,-0.7429949852373702,104+613,2611459.2422282803,1268833.7101664536,2611459,1268859
4,14.7,-6.3,2128.2331305108146,0.00046987333561524896,-3.092361663313615,104+613,2611459.1405826244,1268838.7091331629,2611459,1268859
5,14.7,-6.3,795.8434419355876,0.0012565285423071137,-9.375004374849183,104+613,2611459.0389369684,1268843.708099872,2611459,1268859
6,14.7,-6.3,441.39141728515483,0.0022655628560941496,-20.70281865531993,104+613,2611458.937291312,1268848.7070665816,2611459,1268859
7,14.7,-6.3,396.8657681096598,0.002519743652276115,-33.301536916700506,104+613,2611458.835645656,1268853.7060332908,2611459,1268859
8,14.7,-6.3,874.5172780014539,0.0011434879849204506,-39.01897684130276,104+613,2611458.734,1268858.705,2611459,1268859
9,14.7,-6.3,874.5172780014539,0.0011434879849204506,-33.301536916700506,104+613,2611458.6323543442,1268863.7039667093,2611459,1268859
10,14.7,-6.3,396.8657681096598,0.002519743652276115,-20.70281865531993,104+613,2611458.5307086883,1268868.7029334186,2611459,1268859
11,14.7,-6.3,441.39141728515483,0.0022655628560941496,-9.375004374849183,104+613,2611458.429063032,1268873.701900128,2611459,1268859
12,14.7,-6.3,795.8434419355876,0.0012565285423071137,-3.092361663313615,104+613,2611458.327417376,1268878.7008668373,2611459,1268859
13,14.7,-6.3,2128.2331305108146,0.00046987333561524896,-0.7429949852373702,104+613,2611458.22577172,1268883.6998335465,2611459,1268859
14,14.7,-6.3,8157.131446894613,0.00012259211544037285,-0.130034408035506,104+613,2611458.124126064,1268888.6988002558,2611459,1268859
15,14.7,-6.3,44069.42388676053,2.269146977209346e-05,-0.016577059175038707,104+613,2611458.022480408,1268893.697766965,2611459,1268859
16,14.7,-6.3,332497.1485511935,3.0075445890509146e-06,-0.001539336229784134,104+613,2611457.9208347523,1268898.6967336745,2611459,1268859
0,14.9,-6.1,,,-0.001619508663406126,104+616,2611462.640735937,1268818.7762784462,2611462,1268859
1,14.9,-6.1,321432.816320566,3.1110700252916823e-06,-0.017174858789864536,104+616,2611462.5273939446,1268823.7749936404,2611462,1268859
2,14.9,-6.1,43189.438774395596,2.3153808624918727e-05,-0.13294390191445815,104+616,2611462.414051953,1268828.7737088345,2611462,1268859
3,14.9,-6.1,8088.3171945529575,0.00012363511172304738,-0.7511194605296949,104+616,2611462.3007099605,1268833.7724240287,2611462,1268859
4,14.9,-6.1,2130.9180727390712,0.0004692812984192325,-3.0975259526258574,104+616,2611462.1873679683,1268838.771139223,2611462,1268859
5,14.9,-6.1,803.0670717206702,0.0012452260031747743,-9.323655968499729,104+616,2611462.0740259765,1268843.7698544173,2611462,1268859
6,14.9,-6.1,447.9995148016294,0.0022321452746277906,-20.484382341638682,104+616,2611461.960683984,1268848.7685696115,2611462,1268859
7,14.9,-6.1,404.37299022105526,0.002472964377401513,-32.84920422864625,104+616,2611461.8473419924,1268853.7672848057,2611462,1268859
8,14.9,-6.1,892.7890528859257,0.0011200854185739809,-38.44963132151615,104+616,2611461.734,1268858.7659999998,2611462,1268859
9,14.9,-6.1,892.7890528859257,0.0011200854185739809,-32.84920422864625,104+616,2611461.620658008,1268863.764715194,2611462,1268859
10,14.9,-6.1,404.37299022105526,0.002472964377401513,-20.484382341638682,104+616,2611461.507316016,1268868.7634303882,2611462,1268859
11,14.9,-6.1,447.9995148016294,0.0022321452746277906,-9.323655968499729,104+616,2611461.393974024,1268873.7621455824,2611462,1268859
12,14.9,-6.1,803.0670717206702,0.0012452260031747743,-3.0975259526258574,104+616,2611461.280632032,1268878.7608607768,2611462,1268859
13,14.9,-6.1,2130.9180727390712,0.0004692812984192325,-0.7511194605296949,104+616,2611461.16729004,1268883.759575971,2611462,1268859
14,14.9,-6.1,8088.3171945529575,0.00012363511172304738,-0.13294390191445815,104+616,2611461.0539480476,1268888.758291165,2611462,1268859
15,14.9,-6.1,43189.438774395596,2.3153808624918727e-05,-0.017174858789864536,104+616,2611460.940606056,1268893.7570063593,2611462,1268859
16,14.9,-6.1,321432.816320566,3.1110700252916823e-06,-0.001619508663406126,104+616,2611460.8272640635,1268898.7557215535,2611462,1268859
0,15.1,-5.9,,,-0.0016707396282949426,104+619,2611465.7063695663,1268818.8458448576,2611465,1268859
1,15.1,-5.9,315314.7681236224,3.171434075069835e-06,-0.017527910003644117,104+619,2611465.5846983707,1268823.8443642505,2611465,1268859
2,15.1,-5.9,42776.975632378824,2.3377061730448244e-05,-0.13441321865588535,104+619,2611465.4630271746,1268828.8428836432,2611465,1268859
3,15.1,-5.9,8077.293680976627,0.00012380384315543294,-0.7534324344330501,104+619,2611465.341355979,1268833.8414030361,2611465,1268859
4,15.1,-5.9,2142.6387949292475,0.00046671422283895553,-3.0870035486278278,104+619,2611465.219684783,1268838.8399224288,2611465,1268859
5,15.1,-5.9,811.9144674559544,0.0012316568309632308,-9.245287703443982,104+619,2611465.0980135873,1268843.8384418217,2611465,1268859
6,15.1,-5.9,454.7954641569155,0.0021987906186658355,-20.23924079677316,104+619,2611464.9763423917,1268848.8369612144,2611465,1268859
7,15.1,-5.9,411.62945222717127,0.0024293694112250187,-32.38608785289825,104+619,2611464.8546711956,1268853.8354806073,2611465,1268859
8,15.1,-5.9,910.050938565762,0.001098839589766258,-37.88028580172954,104+619,2611464.733,1268858.834,2611465,1268859
9,15.1,-5.9,910.050938565762,0.001098839589766258,-32.38608785289825,104+619,2611464.6113288044,1268863.8325193927,2611465,1268859
10,15.1,-5.9,411.62945222717127,0.0024293694112250187,-20.23924079677316,104+619,2611464.4896576083,1268868.8310387856,2611465,1268859
11,15.1,-5.9,454.7954641569155,0.0021987906186658355,-9.245287703443982,104+619,2611464.3679864127,1268873.8295581783,2611465,1268859
12,15.1,-5.9,811.9144674559544,0.0012316568309632308,-3.0870035486278278,104+619,2611464.246315217,1268878.8280775712,2611465,1268859
13,15.1,-5.9,2142.6387949292475,0.00046671422283895553,-0.7534324344330501,104+619,2611464.124644021,1268883.826596964,2611465,1268859
14,15.1,-5.9,8077.293680976627,0.00012380384315543294,-0.13441321865588535,104+619,2611464.0029728254,1268888.8251163568,2611465,1268859
15,15.1,-5.9,42776.975632378824,2.3377061730448244e-05,-0.017527910003644117,104+619,2611463.8813016294,1268893.8236357495,2611465,1268859
