YEAR,MO,DY,swv_dwn, 
2004,1,1,5.1,
2004,1,2,4.4,
2004,1,3,5.27,
2004,1,4,5.17,
2004,1,5,5.28,
2004,1,6,5.31,
2004,1,7,5.21,
2004,1,8,4.75,
2004,1,9,3.15,
2004,1,10,3.29,
2004,1,11,3.13,
2004,1,12,3.31,
2004,1,13,2.1,
2004,1,14,3.8,
2004,1,15,3.06,
2004,1,16,5.5,
2004,1,17,4.38,
2004,1,18,2.29,
2004,1,19,3.88,
2004,1,20,3.92,
2004,1,21,3.05,
2004,1,22,4.08,
2004,1,23,4.32,
2004,1,24,3.2,
2004,1,25,5.16,
2004,1,26,4.84,
2004,1,27,4.57,
2004,1,28,5.11,
2004,1,29,5.3,
2004,1,30,5.23,
2004,1,31,4.2,
2004,2,1,2.87,
2004,2,2,4.64,
2004,2,3,4.62,
2004,2,4,2.15,
2004,2,5,0.52,
2004,2,6,0.92,
2004,2,7,0.47,
2004,2,8,1.62,
2004,2,9,4.85,
2004,2,10,5.75,
2004,2,11,6.09,
2004,2,12,3.98,
2004,2,13,4.07,
2004,2,14,5.78,
2004,2,15,5.52,
2004,2,16,5.72,
2004,2,17,5.34,
2004,2,18,5.09,
2004,2,19,5.39,
2004,2,20,5.07,
2004,2,21,4.91,
2004,2,22,1.72,
2004,2,23,1.83,
2004,2,24,4.53,
2004,2,25,4.01,
2004,2,26,4.48,
2004,2,27,4.37,
2004,2,28,4.84,
2004,2,29,6.43,
2004,3,1,6.08,
2004,3,2,6.22,
2004,3,3,5.49,
2004,3,4,5.05,
2004,3,5,4.59,
2004,3,6,4.76,
2004,3,7,4.93,
2004,3,8,4.4,
2004,3,9,6.51,
2004,3,10,7.11,
2004,3,11,6.5,
2004,3,12,5.94,
2004,3,13,4.98,
2004,3,14,4.75,
2004,3,15,4.56,
2004,3,16,5.22,
2004,3,17,4.95,
2004,3,18,5.17,
2004,3,19,3.96,
2004,3,20,5.31,
2004,3,21,2.48,
2004,3,22,4.69,
2004,3,23,4.07,
2004,3,24,5.65,
2004,3,25,5.75,
2004,3,26,5.66,
2004,3,27,6.02,
2004,3,28,5.51,
2004,3,29,5.91,
2004,3,30,5.31,
2004,3,31,5.73,
2004,4,1,5.65,
2004,4,2,5.58,
2004,4,3,2.27,
2004,4,4,5.44,
2004,4,5,5.48,
2004,4,6,5.12,
2004,4,7,4.96,
2004,4,8,2.1,
2004,4,9,2.56,
2004,4,10,5.01,
2004,4,11,6.36,
2004,4,12,4.25,
2004,4,13,4.82,
2004,4,14,4.25,
2004,4,15,5.58,
2004,4,16,4.99,
2004,4,17,4.1,
2004,4,18,3.88,
2004,4,19,3.41,
2004,4,20,7.53,
2004,4,21,6.11,
2004,4,22,5.02,
2004,4,23,6.88,
2004,4,24,6.36,
2004,4,25,5.84,
2004,4,26,6.44,
2004,4,27,5.68,
2004,4,28,4.32,
2004,4,29,5.62,
2004,4,30,6.53,
2004,5,1,6.16,
2004,5,2,2.04,
2004,5,3,6.71,
2004,5,4,5.02,
2004,5,5,3.88,
2004,5,6,3.12,
2004,5,7,3.49,
2004,5,8,4.66,
2004,5,9,6.18,
2004,5,10,6.16,
2004,5,11,4.67,
2004,5,12,5.51,
2004,5,13,4.06,
2004,5,14,4.69,
2004,5,15,3.71,
2004,5,16,4.24,
2004,5,17,2.02,
2004,5,18,3.14,
2004,5,19,3.51,
2004,5,20,1.96,
2004,5,21,3.66,
2004,5,22,4.42,
2004,5,23,4.81,
2004,5,24,5.12,
2004,5,25,4.74,
2004,5,26,3.77,
2004,5,27,4.08,
2004,5,28,1.73,
2004,5,29,3.92,
2004,5,30,3.53,
2004,5,31,3.04,
2004,6,1,5.11,
2004,6,2,5.91,
2004,6,3,5.73,
2004,6,4,5.89,
2004,6,5,6.55,
2004,6,6,5.8,
2004,6,7,3.57,
2004,6,8,4.96,
2004,6,9,5.1,
2004,6,10,4.33,
2004,6,11,3.48,
2004,6,12,6,
2004,6,13,1.5,
2004,6,14,1.65,
2004,6,15,2.5,
2004,6,16,3.02,
2004,6,17,2.99,
2004,6,18,3.02,
2004,6,19,3.44,
2004,6,20,3.78,
2004,6,21,3.26,
2004,6,22,4.17,
2004,6,23,3.06,
2004,6,24,2.49,
2004,6,25,5.06,
2004,6,26,3.99,
2004,6,27,3.45,
2004,6,28,2.11,
2004,6,29,3.88,
2004,6,30,4.99,
2004,7,1,6.03,
2004,7,2,5.66,
2004,7,3,4.49,
2004,7,4,4.06,
2004,7,5,4.03,
2004,7,6,2.05,
2004,7,7,4.71,
2004,7,8,5.92,
2004,7,9,3.31,
2004,7,10,2.44,
2004,7,11,1.41,
2004,7,12,2.42,
2004,7,13,2.8,
2004,7,14,3.02,
2004,7,15,3.84,
2004,7,16,5.19,
2004,7,17,4.41,
2004,7,18,3.82,
2004,7,19,3.21,
2004,7,20,3.24,
2004,7,21,2.8,
2004,7,22,2.16,
2004,7,23,2.82,
2004,7,24,1.98,
2004,7,25,4.55,
2004,7,26,3.16,
2004,7,27,2.64,
2004,7,28,5.07,
2004,7,29,4.49,
2004,7,30,3.08,
2004,7,31,3.47,
2004,8,1,4.59,
2004,8,2,4.25,
2004,8,3,2.71,
2004,8,4,3.36,
2004,8,5,5.31,
2004,8,6,3.62,
2004,8,7,3.91,
2004,8,8,3.72,
2004,8,9,3.94,
2004,8,10,5.43,
2004,8,11,4.79,
2004,8,12,5.93,
2004,8,13,5.13,
2004,8,14,2.17,
2004,8,15,1.69,
2004,8,16,3.05,
2004,8,17,2.98,
2004,8,18,2.96,
2004,8,19,4.99,
2004,8,20,5.22,
2004,8,21,5.14,
2004,8,22,3.97,
2004,8,23,3.03,
2004,8,24,5.46,
2004,8,25,4.67,
2004,8,26,3.55,
2004,8,27,4.01,
2004,8,28,2.29,
2004,8,29,1.18,
2004,8,30,0.98,
2004,8,31,1.93,
2004,9,1,3.45,
2004,9,2,1.75,
2004,9,3,1.84,
2004,9,4,3.29,
2004,9,5,3.53,
2004,9,6,3.61,
2004,9,7,2.52,
2004,9,8,1.23,
2004,9,9,1.17,
2004,9,10,1.77,
2004,9,11,2.93,
2004,9,12,3.82,
2004,9,13,5.58,
2004,9,14,4.84,
2004,9,15,4.4,
2004,9,16,5.93,
2004,9,17,5.54,
2004,9,18,5.22,
2004,9,19,0.91,
2004,9,20,3.62,
2004,9,21,3.65,
2004,9,22,6.05,
2004,9,23,6.42,
2004,9,24,6.82,
2004,9,25,5.78,
2004,9,26,6.02,
2004,9,27,4.95,
2004,9,28,6.13,
2004,9,29,5.76,
2004,9,30,5.09,
2004,10,1,6.09,
2004,10,2,1.88,
2004,10,3,5.1,
2004,10,4,5.74,
2004,10,5,5.66,
2004,10,6,6.01,
2004,10,7,5.66,
2004,10,8,5.77,
2004,10,9,6.87,
2004,10,10,6.17,
2004,10,11,3.8,
2004,10,12,4.98,
2004,10,13,5.66,
2004,10,14,5.25,
2004,10,15,4.56,
2004,10,16,5.08,
2004,10,17,5.61,
2004,10,18,5.39,
2004,10,19,5.29,
2004,10,20,5.17,
2004,10,21,5.06,
2004,10,22,4.6,
2004,10,23,5.31,
2004,10,24,4.24,
2004,10,25,5.34,
2004,10,26,5.01,
2004,10,27,3.85,
2004,10,28,4.57,
2004,10,29,5.77,
2004,10,30,5.9,
2004,10,31,5.17,
2004,11,1,5.79,
2004,11,2,5.26,
2004,11,3,5.63,
2004,11,4,5.64,
2004,11,5,5.51,
2004,11,6,5.1,
2004,11,7,5.11,
2004,11,8,5.44,
2004,11,9,5.72,
2004,11,10,5.63,
2004,11,11,5.55,
2004,11,12,5.75,
2004,11,13,5.81,
2004,11,14,5.76,
2004,11,15,4.76,
2004,11,16,4.08,
2004,11,17,3.84,
2004,11,18,5.05,
2004,11,19,5.41,
2004,11,20,5.2,
2004,11,21,4.47,
2004,11,22,4.12,
2004,11,23,5.1,
2004,11,24,4.58,
2004,11,25,1.25,
2004,11,26,1.44,
2004,11,27,3.95,
2004,11,28,3.76,
2004,11,29,3.35,
2004,11,30,4.6,
2004,12,1,3.68,
2004,12,2,5.04,
2004,12,3,5.17,
2004,12,4,4.51,
2004,12,5,5.04,
2004,12,6,4.35,
2004,12,7,4.69,
2004,12,8,4.71,
2004,12,9,5.08,
2004,12,10,4.43,
2004,12,11,5.21,
2004,12,12,4.54,
2004,12,13,5.08,
2004,12,14,4.82,
2004,12,15,4.55,
2004,12,16,4.02,
2004,12,17,4.37,
2004,12,18,4.91,
2004,12,19,4.92,
2004,12,20,5.23,
2004,12,21,5.18,
2004,12,22,5.18,
2004,12,23,5.13,
2004,12,24,4.64,
2004,12,25,5.02,
2004,12,26,4.95,
2004,12,27,4.97,
2004,12,28,3.81,
2004,12,29,4.16,
2004,12,30,3.39,
2004,12,31,3.45,
