YEAR,MO,DY,swv_dwn
2004,1,1,5.49
2004,1,2,4.87
2004,1,3,4.99
2004,1,4,5.39
2004,1,5,5.43
2004,1,6,5.12
2004,1,7,5.37
2004,1,8,4.98
2004,1,9,3.78
2004,1,10,2.9
2004,1,11,2.35
2004,1,12,2.03
2004,1,13,2.9
2004,1,14,4.14
2004,1,15,5.46
2004,1,16,3.95
2004,1,17,4.6
2004,1,18,5.41
2004,1,19,3.11
2004,1,20,4.46
2004,1,21,3.96
2004,1,22,4.06
2004,1,23,4.26
2004,1,24,3.19
2004,1,25,2.95
2004,1,26,5.22
2004,1,27,5.59
2004,1,28,5.14
2004,1,29,5.61
2004,1,30,4.86
2004,1,31,5.41
2004,2,1,5.04
2004,2,2,5.53
2004,2,3,3.86
2004,2,4,1.47
2004,2,5,2.96
2004,2,6,3.44
2004,2,7,3.96
2004,2,8,3.09
2004,2,9,3.01
2004,2,10,3.69
2004,2,11,5.95
2004,2,12,3.93
2004,2,13,2.48
2004,2,14,6.1
2004,2,15,6.46
2004,2,16,6.86
2004,2,17,6.24
2004,2,18,5.75
2004,2,19,5.67
2004,2,20,6.41
2004,2,21,6.45
2004,2,22,6.32
2004,2,23,6.73
2004,2,24,5.79
2004,2,25,4.08
2004,2,26,1.53
2004,2,27,3.59
2004,2,28,5.61
2004,2,29,5.25
2004,3,1,5.59
2004,3,2,6.58
2004,3,3,5.19
2004,3,4,3.62
2004,3,5,5.2
2004,3,6,5.48
2004,3,7,3.26
2004,3,8,2.76
2004,3,9,7.22
2004,3,10,6.45
2004,3,11,6.95
2004,3,12,6.25
2004,3,13,6.07
2004,3,14,6.34
2004,3,15,6.21
2004,3,16,6.78
2004,3,17,6.31
2004,3,18,5.7
2004,3,19,3.62
2004,3,20,4.8
2004,3,21,4.24
2004,3,22,3.11
2004,3,23,5.8
2004,3,24,4.98
2004,3,25,5.51
2004,3,26,5.19
2004,3,27,3.73
2004,3,28,5.87
2004,3,29,5.32
2004,3,30,4.93
2004,3,31,5.26
2004,4,1,5.34
2004,4,2,6.22
2004,4,3,3.44
2004,4,4,5.34
2004,4,5,5.64
2004,4,6,5.33
2004,4,7,5.68
2004,4,8,2.69
2004,4,9,3.52
2004,4,10,5.39
2004,4,11,5.34
2004,4,12,6.02
2004,4,13,5.81
2004,4,14,4.27
2004,4,15,5.14
2004,4,16,5.96
2004,4,17,5.76
2004,4,18,5.25
2004,4,19,5.95
2004,4,20,6.41
2004,4,21,6.88
2004,4,22,6.42
2004,4,23,6.48
2004,4,24,5.6
2004,4,25,5.21
2004,4,26,6.73
2004,4,27,6.34
2004,4,28,7.4
2004,4,29,7.69
2004,4,30,5.82
2004,5,1,5.86
2004,5,2,5.66
2004,5,3,7.32
2004,5,4,5.17
2004,5,5,5.35
2004,5,6,6.16
2004,5,7,5.95
2004,5,8,2.55
2004,5,9,3.92
2004,5,10,3.98
2004,5,11,5.91
2004,5,12,4.72
2004,5,13,4.43
2004,5,14,5.1
2004,5,15,6.26
2004,5,16,6.46
2004,5,17,5.73
2004,5,18,5.15
2004,5,19,3.72
2004,5,20,4.33
2004,5,21,2.61
2004,5,22,5.08
2004,5,23,5.15
2004,5,24,3.76
2004,5,25,4.22
2004,5,26,4.55
2004,5,27,5.7
2004,5,28,5.45
2004,5,29,5.9
2004,5,30,5.25
2004,5,31,6.43
2004,6,1,6.25
2004,6,2,5.8
2004,6,3,5.89
2004,6,4,6.35
2004,6,5,6.97
2004,6,6,5.46
2004,6,7,5.39
2004,6,8,4.53
2004,6,9,4.55
2004,6,10,4.81
2004,6,11,1.7
2004,6,12,1
2004,6,13,2.3
2004,6,14,3.71
2004,6,15,3.86
2004,6,16,4.88
2004,6,17,4.94
2004,6,18,6.34
2004,6,19,4.38
2004,6,20,3.98
2004,6,21,4.47
2004,6,22,3.17
2004,6,23,2.5
2004,6,24,2.02
2004,6,25,3.99
2004,6,26,3.01
2004,6,27,2.69
2004,6,28,3.58
2004,6,29,3.98
2004,6,30,4.06
2004,7,1,4.79
2004,7,2,3.51
2004,7,3,4.56
2004,7,4,3.05
2004,7,5,6.18
2004,7,6,6
2004,7,7,5.9
2004,7,8,4.95
2004,7,9,5.6
2004,7,10,4.33
2004,7,11,5.5
2004,7,12,4.71
2004,7,13,4.81
2004,7,14,4.96
2004,7,15,5.02
2004,7,16,5.59
2004,7,17,5.01
2004,7,18,4.56
2004,7,19,4.24
2004,7,20,2.7
2004,7,21,2.21
2004,7,22,3.08
2004,7,23,2.95
2004,7,24,3.42
2004,7,25,2.07
2004,7,26,2.25
2004,7,27,1.86
2004,7,28,2.12
2004,7,29,2.46
2004,7,30,3.7
2004,7,31,3.65
2004,8,1,4.05
2004,8,2,3.9
2004,8,3,2.38
2004,8,4,3.4
2004,8,5,3.28
2004,8,6,4.69
2004,8,7,3.19
2004,8,8,2.94
2004,8,9,3.46
2004,8,10,4.09
2004,8,11,2.37
2004,8,12,2.94
2004,8,13,4.11
2004,8,14,3.82
2004,8,15,2.96
2004,8,16,2.93
2004,8,17,3.45
2004,8,18,3.91
2004,8,19,4.13
2004,8,20,4.22
2004,8,21,3.9
2004,8,22,3.29
2004,8,23,3.43
2004,8,24,3.53
2004,8,25,3.7
2004,8,26,3.57
2004,8,27,1.65
2004,8,28,2.85
2004,8,29,2.68
2004,8,30,3.14
2004,8,31,4.2
2004,9,1,3.55
2004,9,2,2.62
2004,9,3,2.65
2004,9,4,4.28
2004,9,5,6.14
2004,9,6,4.96
2004,9,7,2.2
2004,9,8,2.26
2004,9,9,2.95
2004,9,10,3.86
2004,9,11,3.9
2004,9,12,2.35
2004,9,13,2.48
2004,9,14,3.78
2004,9,15,3.13
2004,9,16,3.59
2004,9,17,5.02
2004,9,18,3.62
2004,9,19,3.87
2004,9,20,4.14
2004,9,21,6.21
2004,9,22,7
2004,9,23,6.71
2004,9,24,7
2004,9,25,5.75
2004,9,26,4.08
2004,9,27,5.54
2004,9,28,4.76
2004,9,29,5.9
2004,9,30,5.41
2004,10,1,6.18
2004,10,2,2.94
2004,10,3,2.83
2004,10,4,2.85
2004,10,5,4.76
2004,10,6,4.87
2004,10,7,5.42
2004,10,8,4.75
2004,10,9,3.6
2004,10,10,4.49
2004,10,11,5.34
2004,10,12,6.02
2004,10,13,5.96
2004,10,14,5.96
2004,10,15,5.04
2004,10,16,6.41
2004,10,17,5.12
2004,10,18,5.72
2004,10,19,6.51
2004,10,20,6.6
2004,10,21,5.67
2004,10,22,5.67
2004,10,23,3.55
2004,10,24,4.66
2004,10,25,4.75
2004,10,26,4.76
2004,10,27,3.76
2004,10,28,3.54
2004,10,29,4.61
2004,10,30,5.3
2004,10,31,4.42
2004,11,1,4.97
2004,11,2,5.62
2004,11,3,5.84
2004,11,4,5.69
2004,11,5,4.21
2004,11,6,5.73
2004,11,7,5.79
2004,11,8,5.63
2004,11,9,5.77
2004,11,10,6.1
2004,11,11,6.37
2004,11,12,5.89
2004,11,13,4.56
2004,11,14,4.47
2004,11,15,4.29
2004,11,16,3.21
2004,11,17,2.37
2004,11,18,3
2004,11,19,4.11
2004,11,20,5.18
2004,11,21,4.41
2004,11,22,3.89
2004,11,23,3.38
2004,11,24,2.55
2004,11,25,3.38
2004,11,26,3.7
2004,11,27,2.4
2004,11,28,3.03
2004,11,29,3.69
2004,11,30,4.04
2004,12,1,3.3
2004,12,2,2.9
2004,12,3,3.69
2004,12,4,4.47
2004,12,5,4.24
2004,12,6,4.42
2004,12,7,2.87
2004,12,8,4.33
2004,12,9,4.4
2004,12,10,4.1
2004,12,11,3.95
2004,12,12,3.05
2004,12,13,3.64
2004,12,14,4.9
2004,12,15,4.8
2004,12,16,4.86
2004,12,17,4.27
